,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,Anbima,Anbima,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,"Noções de programação (VBA, Python, SQL, Matlab).Bolsa estágio compatível com o mercado.",
1,GLOBAL HITSS,GLOBAL HITSS,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,"Somos uma empresa do grupo América Móvil, com mais de 30 anos de experiência no mercado de soluções digitais e serviços de TI na América Latina e Estados…",
2,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,VBA e JavaScript serão considerados diferenciais.Capacidade de trabalhar em um ambiente multifuncional e colaborativo.,
3,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 6.500 - R$ 10.000 por mês,Postedhá 2 dias,2022-05-01,Automação de rotinas a frameworks completos de desenvolvimento web.,
4,Vagas de emprego: LLIEGE,LLIEGE,"São Paulo, SP",R$ 6.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Atuar com programação Fullstack, Django, consumo de APIS REST, bancos de dados, JavaScript, jQuery, HTML e CSS.",
5,Vagas de emprego: A Gente Faz Terceirização,A Gente Faz Terceirização,"São Paulo, SP",R$ 2.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"REQUISITOS: HABILIDADE EM DASHBOARD TRATAMENTO DE INFORMAÇÕES CONHECIMENTO EM EXCEL, POWER BI E PYTHON PACOTE OFFICE Atividades desenvolvidas: *…",
6,Vagas de emprego: Orangefox,Orangefox,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Experiência comprovada com o mínimo de 2 (dois) anos atuando em projetos;Sólidos conhecimentos em Python, SQL, Github e Excel;",
7,Vagas de emprego: RUFINO HR CONSULTING,RUFINO HR CONSULTING,"Home office in São Paulo, SP",R$ 3.500 por mês,Postedhá 3 dias,2022-05-01,"Pacote office avançado, BI intermediário, SAS básico, Python intermediário e banco de dados intermediário.Local: * Home Office, com disponibilidade de ir até a…",
8,Vagas de emprego: Capim,Capim,"Home office in São Paulo, SP",R$ 5.000 - R$ 10.000 por mês,EmployerAtiva 8 dias atrás,2022-05-01,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Identificar desafios e oportunidades de negócio e usar ferramentas…,
9,Liv Up,Liv Up,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…",
